Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Spring,1982,New Life Foundation,Intern,"Athens, Maine",44.923488,-69.673233,,
Winter,2016,New Leaders Council Maine,Intern,"Portland, Maine",,,,
Fall,2017,New Fruit Collective,Intern,"Portland, Maine",,,,
NA,2006,New England Watershed,Intern,"Hatfield, Massachusetts ",42.3732087,-72.596091,,"cannot find ST. HATFIELD which was entered, coordinates for HATFIELD"
Winter,2000,New England Tropical Conservatory,Intern,"Bennington, Vermont",42.87705563,-73.19786526,,
Summer,2001,New England Roleplaying Organization,Intern,"Brimfield, Massachussets",,,,
Spring,1978,New England Health Foundation,Intern,"Cambridge, Massachusetts",42.3655767,-71.1040018,,
Summer,1997,New England Aquarium Temperate Gallery,Intern,"Central Wharf, Boston",42.3590789,-71.0495695,,
Summer,1982,New England Aquarium ,Aquarium Projects Research Assistant,"Lubec, Maine and Gulf of Maine",,,,
Summer,1996,New England Aquarium,Cold Marine Aquarist,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,1980,New England Aquarium,Research Assistant,"Lubec, Maine",44.860736,-66.984329,,
Fall,1991,New England Aquarium,Intern,"Boston, Massachusetts",,,Not scanned personal letters to Jill,
Spring,1979,New England Aquarium,Seal Handler,"Rockland, Maine",,,,
Novermber-Spring,"1981, 1982",New Brunswick Museum in Saint John,Intern,"New Brunswick, Canada",46.500283,-66.750183,,
Novermber-Spring,1981-1983,New Brunswick Museum in Saint John,Intern,"New Brunswick, Canada",46.500283,-66.750183,,
Summer,1988,New Alchemy Institute,Research Assistant,"East Falmouth, Massachusetts",41.5784425,-70.5586401,,
"Spring, Fall",2020,Nebetja,Intern,"Cesis, Latvia",57.3131712,25.2748551,,
NA,NA,Nature Camp Councellor,NA,NA,,,,
Fall,1987,Natural Resources Council of Maine,Intern,"Augusta, Maine",,,,
Summer,1997,Natural Resources Conservation Service,Intern,"Ellsworth, Maine",,,,
Spring,2005,Native Women's Health Education Resource Center,Intern,"Lake Andes, South Dakota",43.156382,-98.54147,,
Summer,2012,National Parks Service,Pony Care Taker,"Ocracoke Island, North Carolina",35.1283086,-75.9219023,,
Summer,2021,National Outdoor Leadership School (NOLS),Intern,"Rockland, Maine",44.104831,-69.1092025,,
Winter,1978,National Outdoor Leadership School (NOLS),Intern,"Lander, Wyoming",42.8330755,-108.730702,,
Winter,1994,National Organization for Women,Administrative Assistant,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2006,"National Oceanic and Atmospheric Association, National Marine Fisheries",Intern,"Key West, Florida ",,,,
Summer,2021,National Institute of Agricultural Economics (INEA),Intern,"Valladolid, Spain",41.6521328,-4.728562,,
Fall,1996,National Forest Service,Intern,"Douglas, Arizona",,,,
Winter ,1993,National Environmental Law Center,Intern,"Boulder, Colorado",40.0149856,-105.270545,,
Fall,1991,National Ecology Research Center,Intern,"Fort Collins, Colorado",,,,
Summer,2018,National Eating Disorders Association (NEDA),Helpline Intern,"New York, New York",40.741895,-73.989308,,
Summer,2012,National Easting Disorders Association,Intern,"New York, New York",40.741895,-73.989308,,
Summer,2001,National Assocation for Adult Vocational Training,Intern,"Paris, France ",,,,
Summer,2015,Nasa's Wallops Flight Facility,Intern,"Wallops Island, Virginia",37.8838711,-75.4561666,,
Spring,1996,NARC,Intern,"Wales, United Kingdom",,,Not included: newspapers,
Winter,2014,Naenae College,Teacher Assistant,"Wellington, New Zealand",,,,
"Summer,Fall",1976,NACUL Enviromental Design Center,Intern,"Amherst, Massachusetts",42.3731948,-72.5198761,,
Fall,1978,NA,Alumni,"Bangor, Maine",44.8016255,-68.7713289,,
Winter,1998,NA,NA,"Olomouc, Czech Republic",49.5940567,17.251143,Email update after graduation,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA,NA,NA,NA,NA,,,"Postgrad Update. Also Blauert, Erin",
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
Winter,NA,NA,Student Teacher,NA,,,,
NA,NA,NA,NA,NA,NA,NA,Post Grad Update,
NA,NA,NA,NA,NA,,,Post Grad Update,
NA,NA,NA,NA,NA,,,"No record of completion, transfered from COA",
NA,NA,NA,NA,NA,NA,NA,Post Grad Update,
NA,NA,NA,NA,NA,NA,NA,Post Grad Update,
NA,NA,NA,NA,NA,NA,NA,Post Grad Update,
NA,NA,NA,NA,NA,,,"Postgrad Update, Not scanned; unopen return to sender letter",
NA,NA,NA,NA,"Bar Harbor, Maine",,,Postgrad Update,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA ,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,,,,
NA,NA,NA,NA,NA,NA,NA,Postgrad Update,
NA,NA,NA,NA,NA,NA,NA,Community Service Requirement,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,,,Postgrad Update,
NA,NA,NA,NA,NA,NA,NA,Postgrad Update,
NA,NA,NA,NA,NA,NA,NA,Postgrad Update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,NA,NA,NA,NA,NA,NA,Post grad update,
NA,2002 - 2009,"N/A, Prior Work Experience Essay",Analog Man,"Bethel, Connecticut",41.3712063,-73.4140097,,
Summer ,1999,"N/A, Looking for an Intern",Senior GIS Analyst,"Boston, Massachusetts",42.3554334,-71.060511,,
Fall,1988,N/A,Alumni,"London, United Kingdom",51.5074456,-0.1277653,"No Attatched letter, Preschool teacher in UK",
Fall,2010,Myrna Johnson Audio (MJAudio),Intern,"Jamaica Plain, Massachusetts",42.3116046,-71.1143838,,
Summer,2018,Myhre Equine Clinic,Veterinary Assistant,"Rochester, New Hampshire",43.3050631,-70.9753629,,
Summer,2017,Muskegon Humane Society,Intern,"Muskegon, Michigan",43.2341813,-86.2483921,,
Winter,2014-15,Museum of Popular Art,Intern,"Merida, Yucatan",,,,
Summer,2004,Museum of Indian Arts & Culture,Intern,"Santa Fe, New Mexico",35.6876096,-105.938456,,
Summer,2016,Museum of Fine Arts,Studio Art Classes Assistant,"Boston, Massachussets",42.3554334,-71.060511,,
Spring,1997,Multiversidad Franciscana De America Latina,Intern,"Montevideo, Uruguay",-34.9058916,-56.1913095,,
Fall ,1994,Multiversidad,Student Teacher,"Montevideo, Uruguay",-34.9058916,-56.1913095,,
Fall,2000,MTV / Paramount Building,Intern,"New York, New York",40.741895,-73.989308,worked on Celebrity Deathmatch,
Winter,2017,Mt. Desert Elementary School,Student Teacher,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2004,Mt Desert Island Biological Laboratory,Intern,"Salisbury Cove, Maine",44.43082,-68.28341,,
Winter,1992,Mr. Spencer Adler,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,1986,Mr. Paul L. Newman,Biography writer,"Westport, Connecticut",41.1414855,-73.3578955,,
Summer,NA,Mr. Carter Bacon,Intern,"Coopersville, Michigan",43.0639112,-85.9347667,,
Summer,2000,Mount Desert Rock Marine Reserch Station,Intern,"Mount Desert Rock, Maine",43.9686255,-68.1280692,,
Summer,1987,Mount Desert Rock Marine Reserch Station,Research Assistant,"Mount Desert Rock, Maine",43.9686255,-68.1280692,"Included newpapers from Mt. Desert Rock 1983, 1986",
Winter,2010,Mount Desert Islander,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2019,Mount Desert Island YMCA,Assistant Camp Coordinator,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1979 and 1980,Mount Desert Island YMCA,Camp Counselor,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2000,Mount Desert Island Water Quality Coalition,Education Outreach Intern,"Mount Desert, Maine",,,,
Summer,1975,Mount Desert Island Lake Study,Research Assistant,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Summer,2016,Mount Desert Island Ice Cream,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2011,Mount Desert Island Hospital ,Emergency Room Clerk ," Bar Harbor, Maine",,,,
Summer,2009,Mount Desert Island Hospital ,Intern,"Bar Harbor, Maine",,,,
Summer,2017,Mount Desert Island Hospital,Undergraduate Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2022,Mount Desert Island Hospital,Rotation Intern,"Bar Harbor, Maine",,,,
Summer ,2019,Mount Desert Island Historical Society,Summer Collections Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2016,Mount Desert Island Historical Society,Visiting History Scholar Intern,"Mount Desert, Maine",,,,
Spring,1993,Mount Desert Island High School,Student Teacher,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2016,Mount Desert Island Clean Energy Partners ,Intern,"Bar Harbor, Maine ",,,,
Summer,2020,Mount Desert Island Biological Laboratory (MDIBL),Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1990,Mount Desert Island Biological Laboratory (MDIBL),Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2008,Mount Desert Island Biological Laboratory,Intern,"Salisbury Cove, Maine",44.43082,-68.28341,,
Summer,2006,Mount Desert Island Biological Laboratory,Research Assistant,"Salsbury Cove, Maine",44.43082,-68.28341,,
Summer,2020,Mount Desert Island Biological Laboratory,Research Assistant,"Salsbury Cove, Maine",44.43082,-68.28341,,
Fall,2015,Mount Desert Island Biological Laboratory,Development Intern,"Bar Harbor, Maine",,,,
Spring,2005,Mount Desert Island Biological Laboratory,Research Internship,"Bar Harbor, Maine",,,,
Summer,2016,Mount Desert Hospital,Student Observer,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2010,Mount Desert Elementary School,Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Fall,2023,Mount Desert Elementary School,Student Teacher,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2018,Mount Desert Elementary ,Student Teacher,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Fall,2021,Mount Desert 365,Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Winter,2000,Mote Marine Laboratory,Research Assistant,"Sarasota, Florida",27.3365805,-82.5308545,,
Summer,2008,Mote Marine Laboratory,Sea Turtle Intern,"Sarasota, Florida",27.3365805,-82.5308545,,
Winter,2008,Mote Marine Laboratory,Intern,"Sarasota, Florida",,,,
Spring,1981,Morrisville Elementary School,Teaching Assistant,"Morrisville, Vermont",,,,
Summer,2002,Morris Land Conservancy,Assistant to the Projects Director,"Boonton, New Jersey",,,,
Summer,2017,Morris Farm,Educator,"Wiscasset, Maine",,,,
Fall,2017,Morning Glory Natural Foods,Refrigeration Lead,"Brunswick, Maine",43.9166529,-69.9659438,,
Spring,2016,Morning Dew Farm,Farm Apprentice,"Newcastle, Maine",44.034962,-69.536928,,
Winter,2003,Morgan County and Parents and Children Together,Intern,"Decatur, Alabama",,,,
Summer,1995,Moosehorn National Wildlife Service (NWR),Intern,"Calais, Maine",45.1890175,-67.2781391,,
Summer,1989,Moosehorn National wildlife Refuge,Intern,"Calais, Maine",,,,
Summer,2000,Montpellier District,Intern,"Montpellier, France",43.6112422,3.8767337,,
Winter,2022,Monteverde Cloud Forest Biological Preserve,Environmental Education Assistant,"Monteverde, Puntarenas, Costa Rica",,,,
Fall,1999,Monroe County Planning Commission,Intern,,,,,
"Summer, Fall, Winter, Spring","1973, 1974, 1975",Monmouth Ecology Center,Director,"Asbury Park, New Jersey",40.2203907,-74.0120817,,
Summer,2015,Monhegan Island Farm,Farm Intern,"Monhegan, Maine",,,,
Spring,2007,Molecular Ecology & Fisheries Genetics Laboratory,Intern,"Gwynedd, United Kingdom",,,,
Fall,2015,Mogalakwena Research Center,Research Assistant,"Limpopo Province, South Africa",-23.4735288,29.3959199,,
Summer,2007,Mitchell Center UM,Intern,"Orono, Maine",44.88535663,-68.66997805,,
NA,≤2000,Misc,NA,NA,,,Human Ecology graduation essay + notes and other tidbits.,
Summer,2010,Miriam Mohler Brighan and Women's Hostipal,Apprentice,"Boston, Massachusetts",42.3554334,-71.060511,Double,
Summer,2008,Ministry of Agriculture Kenya,Intern,"Nairobi, Kenya",-1.2832533,36.8172449,,"cannot find HAIROBI which was entered, coordinates for NAIROBI"
Fall,2011,Minestry of Environment of the Slovack Republic,Intern,"Bratislaava, Slovakia",,,,
Winter,1993,Milwaukee Art Museum,Intern,"Milwaukee, Wisconsin",43.0349931,-87.922497,,
Fall,1993,Miller Library,Library Assistant,"Waterville, Maine",,,,
Winter ,2015,Micro Community Concepts,Administrative Assistant,"Portland, Oregon",,,,
Spring,2011,"Michael Baker Jr., Inc. ",Intern,"Linthicum, Maryland ",,,,
Summer,2017,MI House of Representatives,Legislative Intern,"Lansing, Michigan",42.7337712,-84.5553805,,
Fall,2016,Metro Area Midwives and Allied Services (M.A.M.A.S),Intern,NA,,,,
Spring,2006,Mesoamerican Permaculture Institute and Reference Center,Intern,"San Lucas Toliman, Guatemala",,,,
Fall,1979,Merry Gardens,Student Teacher,"Camden, Maine ",,,,
Spring,1979,Merritt Island Wildlife Refuge ,Research Assistant,"Titusville, Florida",28.6122187,-80.8075538,With Cornell,
Summer,2004,Merrifield Farm,Intern,"Cornish, Maine",43.804801,-70.801392,,
Fall,1995,Merion Art and Reproduction Center,Intern,"Ardmore, Pennsylvania",40.0067786,-75.2854622,,
"Summer, Spring, Spring","1977, 1975, 1972","Merck Forest, Sugarbush of Ralf H. Fisher and Sons","Park Assistant, maple tappist","Rupert, Vermont, Greensboro, Vermont", ,,Not Scanned; Some newspapers,
Spring,1981,"Melvin King, State Representative, Community Program Center",Research Assistant,"Boston, MA",,,,
Summer,2013,Meadows Bee Farm,Intern,"Windham, Vermont",,,,
Summer,1992,Meadowcreek Inc,Intern,"Fox, Arkansas",35.7914653,-92.2976558,,
Spring,2011,MDIBL/ Jackson Laboratory,Research Assisstant,"Bar Harbor, Maine",,,,
Winter-Summer,1973,MDIBL,Independent Study,Williams College,,,,"unclear location, Bio Lab on MDI? Where is Williams College?"
Spring,2000,MDI YMCA,Fitness Assistant,"Bar Harbor, Maine",,,,
Spring,2005,MDI Water Quality Coalition,Intern,"Mount Desert, Maine",44.3486501,-68.3435443,,
Summer,2010,MDI Ice Cream,Employee,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2014,MDI Hospital,COA Student Affiliate,"Bar Harbor, Maine",,,,
Spring,2007,MDI High School for Educational Studies,Student Teacher,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring ,1983,MDI High School,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2010,MDI High School,Teaching Assistant,"Bar Harbor, Maine",,,,
Winter,2010,MDI High School,Teaching Assistant,"Bar Harbor, Maine",,,,
Summer,2016,MDI Clean Water Partnership,Energy Fellow,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Summer,2012,MDI Clean Energy Partners,Project Developer,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2016,MDI Clean Energy Partners,Intern,"Bar Harbor, Maine",,,,
Summer,2017,MDI Clean Energy Partners,Summer Energy Fellow & Intern,"Bar Harbor, Maine",,,,
Summer,2021,MDI Biological Laboratory,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2021,MDI Biological Laboratory,Lab Tech intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2016,MDI Biological Laboratory,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2013,MDI Biological Laboratory,Research Assistant,"Bar Harbor, Maine",,,,
Summer,2003,MDI Biological Laboratory,Reaserch Assistant,"Bar Harbor, Maine",,,,
Spring,1981,MDI Biological Laboratory,Intern,"Salsbury Cove, Maine",,,,
Fall,2004,McKay's Publik House,Intern,"Bar Harbor, Maine",,,,
Fall,2012,Maya Mountain Research Farm,Intern,"Toledo, Belize",,,,
Summer,2005,Matt Newman & Bruce Maanum,Housing building Intern ,"Surry, Maine",,,,
Summer ,1980,Massachusetts Fair Share,Canvasser,"Chelsea, MA",,,,
Summer,2021,Massachusetts Division of Marine Fisheries,Inter,"Boston, Massachusetts",,,,
Summer,1996,Massachusetts Audubon Coastal Waterbird Program,Intern,"Duxbury, Massachusetts",42.0417695,-70.672259,Physical file included print of emails fron Books to Jill and brochure about seabirds,
"Winter, Summer","2001, 2002",Maryland Conservation Corps,Americorp,"Mitchelville, Maryland",38.915521,-76.719557,,
Summer,1999,Marthas Vineyard Commission,Intern,"Marthas Vineyard, Massachusetts",41.438625,-70.6076451,,
Summer,1996,Martha Vineyards Commission,Intern ,Massachusetts,,,,
Winter,1995,Mark Poster,Research Assistant,"Irvine, California",33.6856969,-117.825981,,
Fall,2007,Mario Negri Institute for Pharmacological,Intern,"Milan, Italy",,,,
Winter,1983,Marineland of the Pacific,Intern,"Rancho Palos Verdes, California ",,,,
Spring ,1989,Marine Systems Laboratory,Field Station Director,"Washington, D.C.",,,,
Summer,1982,Marine Resources Center,Intern,"Manteo, North Carolina",35.9082257,-75.6757303,,
Fall,1976,Marine Biological Laboratories,Intern,"Woods Hole, Massachusetts",41.5253392,-70.6725525,,
Spring,2011,Maquipucuna Foundation,Intern,"Quito, Ecuador",-0.2201641,-78.5123274,,
All Year,2018,Mapping Oceans Stories Project,Intern,Maine,,,,
Summer,2020,Mapping Ocean Stories Project,Researcher,"Bar Harbor, Maine",,,,
Spring,1982,Manomet Bird Observatory,Intern,"Manomet, Massachusetts",41.9200047,-70.5430985,,
Summer,1982,Manomet Bird Observatory,Intern,"Manomet, Massachusetts",41.9200047,-70.5430985,,
Fall,1979,Manomet Bird Observatory,Intern ,"Manoment, MA",,,,
"Fall, Winter","1985, 1986",Manhattan Country School Farm,Intern,"Catskill Mountains, New York",42.2578532,-74.6111692,Included Connections Spring 2002,
Fall,2001,Manhattan Country School Farm,Environmental Educator,"Roxbury, New York",,,,
Summer,2018,Mandala Farm,Intern,"Gouldsboro, Maine",44.478412,-68.0383389,,
Spring/Summer ,2013,Malborough Chelsea Gallery,Intern,"New York, New York",40.741895,-73.989308,,
Winter,2001,Maine State Senate,Senator Assistant,"Augusta, Maine",44.3169922,-69.7734278,,
Summer,2003,Maine State Sea Kayak Guide Service,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Summer,1991,Maine State Music Theatre,Intern,"Brunswick, Maine",43.9166529,-69.9659438,,"cannot find Bruinswick which was entered, coordinates for BRUNSWICK"
Winter,1985,Maine State House,Intern,"Augusta, Maine",,,,
Summer,2015,Maine Standard BioFuels,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,2018,Maine Maritime Academy,Admissions Intern,"Blue Hill, Maine",44.414164,-68.58696,,
Summer,2022,Maine International Film Festival,Operations Specialist ,"Waterville, Maine",,,,
Summer,2019,Maine IDeA Network of Biomedical Research Excellence,INBRE fellow,"Orono, Maine",44.88535663,-68.66997805,,
Fall,1995,Maine Hospice Council,Intern,"Augusta, Maine",44.3169922,-69.7734278,,
"Winter, Spring",1997,Maine HIV Advisory Committee,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,1990,Maine Historic Preservation Society,Museum Technical Intern,"Augusta, Maine",,,,
Summer,1990,Maine Department of Conservation,Intern,"Augusta, Maine",44.3169922,-69.7734278,,
Fall,2017,Maine Community Integration,Board Member,"Lewiston, Maine",,,,
Fall,2010,Maine Coast Heritage Trust,Intern,"Bar Harbor, Maine",,,,
Summer,2010,Maine Coast Heritage Trust,GIS Intern,"Bar Harbor, Maine",,,,
Winter ,2022,Maine Challenge Productions,Motion Graphics Artist,"Portland, Maine",43.6573515,-70.2584115,,
Winter,2003,Maine Audubon Society,Intern,"Falmouth, Maine",43.729525,-70.241993,,
Summer,1986,Maine Audubon Society,Intern,"Falmouth, Maine",,,,
Summer,2000,Maine Acadian Heritage Council,Intern,"Madawaska, Maine",,,,
Summer,2009,Mahindra United World College of India,Intern,"Maharashtra, India",,,,
Summer,1979,Magnetic Corporation of America,Intern,"Waltham, Massachusetts",,,,
Summer,1981,Mack Plastics,Intern,"Bristol, Rhode Island",41.7034082,-71.2844401,,
Winter,2016,Mabel Wadsworth Womens Health Center,Intern,"Bangor, Maine",44.8016255,-68.7713289,,
Fall,2002,M.S.A.D #11,Life Skills teacher,"Gardiner, Maine",44.2297027,-69.7731228,,
Spring,1983,M.A.Clark Inc,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,1999,Lyne LLC,Intern,NA,,,Multiple Internships in one file? Multiple photographs not scanned,
Summer,2013,Lunaform,Intern,"Sullivan, Maine",44.5203554,-68.1966797,,
Fall,2012,Ludas Production,Assistant Engineer,"Minneapolis, Minnesota",44.9772995,-93.2654692,,
Spring,2022,Lower Sherwood Farm,Intern,"Charlottesville, Virginia",38.029306,-78.4766781,,
Spring,2018,Louisiana Bucket Brigade,Project and Event Coordinator,"New Orleans, Louisiana",29.9759983,-90.0782127,,
Spring,2014,Lopez Community Land Trust,Intern,"Lopez Island, Washington",48.5308,-122.914406,,
Winter,1991,Loomis House Retirement Community,Resident Assistant,"Holyoke, Massachusetts",42.2071434,-72.60765,,
Summer,2021,Long Cove Sea Farm,Farm Intern,"Deer Isle, Maine",44.224044,-68.677597,,
Summer,2020,Long Cove Sea Farm,Farmhand,"Deer Isle, Maine",44.224044,-68.677597,,
Summer,1981,Lombardo and Associates,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Fall,1978,Lobo Wolf Foundation,Intern,"Gardiner, Washington ",,,,
Winter,2013,Living in Peace Project,Intern,"Karamea, New Zealand",,,,
Winter,2019,Little Rivers Healthcare,Observer,"Wells River, Vermont",,,,
Summer,2021,Little Long Pond Preserve,Intern,"Seal Harbor, Maine",44.3031358,-68.2402921,,
Summer,2008,Little Beaver Creek Land Foundation,Intern,"Lisbon, Ohio",,,,
Summer,2010,Literacy Services of Wisconsin,Special Assistant to the Executive Director,"Milwaukee, Wisconsin",,,,
Summer,2020,Listening Point Foundation,Intern,"Ely, Minnesota",47.901571,-91.8572479,,
Winter,1981,Linda Read,Apprentice,"Ellsworth, ME",,,,
Fall,2012,Lilongwe Wildlife Rehabilitation Centre,Intern,"Lilongwe, Malawi",-13.9875107,33.768144,,
Summer,1988,Lifeline for Wildlife,Intern,"Stonypoint, New York",41.2295386,-73.9870847,Included brochure,"cannot find STONYPOINT which was entered, coordinates for STONY POINT"
Summer,2014,Lewiston-Auburn Water and Pollution Control Authority (LAWPCA),Lab Tech intern,"Lewiston, Maine / Auburn, Maine",44.1004515,-70.2150294,,"coordinates for Lewiston, Maine"
Winter,2011,Leif Hedendal,Research Assistant/Cook,"San Francisco, California",37.7792588,-122.4193286,,
Summer,1989,League of Town (Northeast Harbor),Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,The report produced during intership was included in scan. Physical files Newspaper included,
Spring,2014,Le Ferme Des Places,Apprentice Farmer,"Saint Laurent, France",,,,
Summer,2017,Latin American Coucil of Social Sciences (CLACSO) ,Intern,"Buenos Aires, Argentina",-34.6037181,-58.38153,Consejo Latinoamericano de Ciencas Sociales (CLACSO),
Winter,1994,Landscape Design Associates,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2018,Land and Garden Preserve,Seasonal Land Steward,"Seal Harbor, Maine",,,,
Summer,2017,Lambay Island,Farm Intern/Research Intern,"Lambay, Dublin",53.4906731,-6.019448,,
Summer,2021,Lakeside School: Waldorf,Intern,"Essex County, New York",44.295994,-73.407109,,"coordinates for ""2-198 Leaning Rd, Essex, NY 12936"", Lakeside School in Essex"
Summer,1998,Lake Creeley Camp,Intern,"Kenilworth, New Jersey",,,,
Summer,2017,Lady Bird Johnson Wildflower Center,Communication Intern,"Austin, Texas",30.2711286,-97.7436995,,
Fall,1991,Labor of Love Birth Center,Intern,"Lakeland, Florida",28.0394654,-81.9498042,Included COA Magazine winter  1998/99 and The Birth Center brachure,
Summer,2018,La MAMA Experimental Theatre Club,Intern,"New York, New York",40.741895,-73.989308,,
Winter,2010,Kristen Zuschlag ,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,Worked with Kristen Zuschlag in graphic design,
Fall ,1998,KNDD 107.7 The End,Production Assistant,"Seattle, Washington",47.589298,-122.384975,,
Summer,2001,Klamath Forest Alliance,Conservation Intern,"Etna, California",41.456807,-122.894755,Right Before 9/11,
Summer,2005,King's College,Field Assistant,"London, England",,,,
Spring,1992,Kids Corner,Teachers Aid,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2016,Kids Corner,Teachers assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2011,Khadighar Farm,Intern,"Industry, Maine",44.7457584,-70.0529487,,
Fall,1992,Khadighar Farm,Intern,"Farmington, Maine",,,,
Summer/Fall,1979,Kerkmann Construction Co.,Contractors Assistant,"Pawtucket, Rhode Island",41.8789531,-71.3821203,,
Summer,2001,Kelmscott Rare Breeds Foundation and Farm,Intern,"Lincolnville, Maine",44.2811892,-69.0086453,,
Summer,2000,Kelmscott Rare Breeds Foundation,Intern,"Lincolnville, Maine",,,,
Winter,2010,Keahou Bird Conservation Center,Agricultural Intern,"Volcano, Hawaii",19.6844554,-155.0697306,,
Fall,2003,Karacadir Center for Sustainable Development,Intern,"Guanajuato, Mexico",20.98763894,-101.2588881,,"cannot find GUANAJUARO which was entered, coordinates for GUANAJUATO, cannot find the specific project online"
Winter,2010,Kantzos Photography,Intern,"New York, New York",40.741895,-73.989308,,
Fall,2013,Kannaksen Lukio,Teaching Assistant,"Luhti, Finland",,,,
Fall,2017,Juniper Hill School,Teachers Apprentice,"Alna, Maine",44.0800367,-69.6178269,,
Summer ,2011,Journey's End Farm Camp,Camp Counselor,"Newfoundland, Pennsylvania",41.3073102,-75.3199035,,
Summer,2012,Jornada Basin LTER,Intern,"Las Cruces, New Mexico",32.3140354,-106.779807,,
Winter,2011,John James Audubon Center,Intern,"Audubon, Pennsylvania",40.1278839,-75.4318532,,
Summer,2010,Johannah Bernstein,International Enviromental Law Researcher,"Geneva, Switzerland",46.2017559,6.1466014,,
Fall,2014,Johanna Bernstein,Intern,"Le Châble, Switzerland",46.0801462,7.2125027,,
Summer,2011,Joe Public Films,Graphic Design Intern,"Portsmouth, New Hampshire",,,,
Winter,2002,Jirrahlinga Koala and Wildlife Sanctuary,Intern,"Victoria, Australia",-37.0819229,144.2567357,,
Fall,1980,"Jim Richardson ""Master Shipwright""",Intern,Chesapeake Bay Region,,,,
Winter ,2022,Jesup Memorial Library,Fundraising Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2015,Jesup Memorial Library,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summe,2022,Jesup Memorial Library,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2019,Jesup Memorial Library,Intern,"Bar Harbor, Maine",,,,
